"2020-08-11 09:59:49,124 INFO  [restartedMain] br.com.hdi.reinsurance.accounting.ReinsuranceApplication = Starting ReinsuranceApplication on HP-NOTEBOOK with PID 22172 (C:\Users\HP\IdeaProjects\ins-cr-policy-reinsurance-accounting-be\target\classes started by rpsilva in C:\Users\HP\IdeaProjects\ins-cr-policy-reinsurance-accounting-be)
""2020-08-11 13:48:01,562 INFO  [restartedMain] org.springframework.aop.framework.CglibAopProxy = Unable to proxy interface-implementing method [public final void org.springframework.dao.support.DaoSupport.afterPropertiesSet() throws java.lang.IllegalArgumentException,org.springframework.beans.factory.BeanInitializationException] because it is marked as final: Consider using interface-based JDK proxies instead!
""2020-08-11 13:48:03,003 INFO  [restartedMain] org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor = Initializing ExecutorService 'applicationTaskExecutor'
""2020-08-11 13:48:06,897 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer = LiveReload server is running on port 35729
""2020-08-11 13:48:06,963 INFO  [restartedMain] org.springframework.boot.actuate.endpoint.web.EndpointLinksResolver = Exposing 2 endpoint(s) beneath base path '/actuator'
""2020-08-11 13:48:07,641 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer = Tomcat started on port(s): 8080 (http) with context path ''
""2020-08-11 13:48:07,648 INFO  [restartedMain] br.com.hdi.reinsurance.accounting.ReinsuranceApplication = Started ReinsuranceApplication in 23.379 seconds (JVM running for 25.496)
""2020-08-11 14:14:37,853 INFO  [http-nio-8080-exec-2] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] = Initializing Spring DispatcherServlet 'dispatcherServlet'
""2020-08-11 14:14:37,854 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet = Initializing Servlet 'dispatcherServlet'
""2020-08-11 14:14:37,878 INFO  [http-nio-8080-exec-2] org.springframework.web.servlet.DispatcherServlet = Completed initialization in 24 ms
""2020-08-11 14:14:38,083 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.controller.ReinsuranceController = Business Validation - REQUEST PARAMS: xCompanyId:1 | xApplicationId:2 | xUserId:"icatu" | xTraceId:"4"
""2020-08-11 14:14:38,115 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing PMD Accounting...
""2020-08-11 14:14:38,119 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Getting param date to filter PMD ...
""2020-08-11 14:14:39,654 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END] Getting param date to filter PMD ...
""2020-08-11 14:14:39,655 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Getting PMD via Query Connector ...
""2020-08-11 14:14:40,374 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [END] Getting PMD via Query Connector ...
""2020-08-11 14:14:41,344 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > Processing entries 1...
""2020-08-11 14:14:41,366 INFO  [http-nio-8080-exec-2] br.com.hdi.reinsurance.accounting.service.ReinsuranceService = > [START] Updating database flag on row 1...
